Age,Communication,Documents,Education,Experience,Job Benefits,Job Type,Others,Shift Timings,Skills,Working Days,experience,location,salary_max,salary_min
18 - 28 yrs,,,10th pass preferred,0 to 6 months of experience as Customer Care preferred,,Full Time,,,10:00 AM - 6:00 PM(day shift),ConfidenceDedicationCustomer RetentionCompulsory      ConfidenceDedicationLocal AwarenessCustomer Retention,6 days,Freshers can Apply 6 months experience,Indirapuram,
18 - 35 yrs,Functional English skills - Ability to Speak,,,,,,,,,,,,,
Above 18 yrs,Fluent English skills - Ability to Speak,,,,,,,,,,,,,
18 - 26 yrs,Excellent English skills - Ability to Speak,,,,,,,,,,,,,
Above 18 yrs,Good English skills - Ability to Speak,,,,,,,,,,,,,
18 - 27 yrs,Fluent English skills - Ability to Speak,,,,,,,,,,,,,
Above 18 yrs,Good English skills - Ability to SpeakCompulsory      Good Hindi skills - Ability to SpeakCompulsory      Good Kannada skills - Ability to SpeakCompulsory,,Graduation degree preferred,Minimum 6 months of experience as Customer Care preferred,,Full Time,,,ConfidenceMS WordCustomer RetentionCompulsory,6 days  (only Sunday off),6 months experience| Resume Required,Shivaji Nagar,,
Above 18 yrs,Fluent English skills - Ability to Speak,,,,,,,,,,,,,
Above 18 yrs,,,Below 10th allowed,Freshers as Customer Care preferred,,Full Time,,7:00 AM - 4:00 PM(day shift),,6 days  (sunday is fixed off),Freshers can Apply,Sector 16,,
Above 18 yrs,Fluent English skills - Ability to Speak,,,,,,,,,,,,,
Above 18 yrs,Good English skills - Ability to Speak,,,,,,,,,,,,,
Above 18 yrs,Good English skills - Ability to Speak,,12th pass mandatoryCompulsory,Freshers as Customer Care in Banking / Financial Services / Insurance preferred,,Full Time,,9:00 AM - 7:00 PM(day shift),,6 days  (Sunday Week Off),Freshers can Apply,Richmond Town,,
18 - 30 yrsCompulsory,Functional English skills - Ability to Speak     Fluent Hindi skills - Ability to Speak,,10th pass mandatoryCompulsory,0 to 6 months of experience as Customer Care in Aviation / Airlines preferred,,Full Time,candidates are not allowed with medical issueCompulsory      candidates must bring all documentsCompulsory,10:00 AM - 5:30 PM(day shift),good communication skillCompulsory      well goomed,,Freshers can Apply 6 months experience,Dum Dum,,
Above 18 yrs,,,Graduation degree preferred,1 yr to 5 yrs of experience as Customer Care in IT- Software preferred,Female preferred,Full Time  ,,,,,1 yrto5 yrs experience| Resume Required,Malad West,,
Above 18 yrsCompulsory,Excellent Tamil skills - Ability to Speak,,,,,,,,,,,,,
Above 18 yrs,Good English skillsCompulsory,,Below 10th allowed, 6 months to 4 yrs of experience as Customer Care in BPO / ITES preferred,Male preferred,Full Time,,10:00 AM - 7:00 PM(day shift|for Male Candidates only),,5 days,6 monthsto4 yrs experience| Resume Required,Sector 14,,
18 - 30 yrs,Good Kannada skills - Ability to SpeakCompulsory,Voter IDCompulsory      Aadhar CardCompulsory      Pan CardCompulsory,12th pass preferred,0 to 6 months of experience as Customer Care in BPO / ITES preferred,,Full Time,,9:00 AM - 6:00 PM(day shift),,6 days,Freshers can Apply 6 months experience| Resume Required,Adugodi,,
18 - 28 yrs,Good Hindi skills - Ability to Speak,,,,,,,,,,,,,
18 - 28 yrs,Good Hindi skills - Ability to Speak,,,,,,,,,,,,,
20 - 29 yrs,Fluent English skills - Ability to Speak,,,,,,,,,,,,,
18 - 30 yrs,Good English skills - Ability to Speak,,,,,,,,,,,,,
Above 18 yrsCompulsory,Fluent Hindi skills - Ability to Speak,,,,,,,,,,,,,
Above 18 yrs,,,Graduation degree preferred,1 yr to 2 yrs of experience as Customer Care in BPO / ITES preferred,,Full Time,,,,,1 yrto2 yrs experience| Resume Required,Cox Town,,
18 - 29 yrs,Good Hindi skills - Ability to Speak,,,,,,,,,,,,,
18 - 35 yrs,Good Hindi skills - Ability to Speak,Voter ID     Aadhar Card,12th pass preferred,Freshers as Customer Care preferred,Full Time,,,ConfidenceDedicationPersonal GroomingCustomer RetentionCompulsory,6 days,Freshers can Apply,Burnpur,,,
18 - 30 yrs,Excellent Hindi skills - Ability to SpeakCompulsory,,12th pass preferred,Freshers as Customer Care preferred,Full Time,,10:00 AM - 6:00 PM(day shift),,6 days,Freshers can Apply,New Delhi,,,
18 - 29 yrs,Good Hindi skills - Ability to Speak,,,,,,,,,,,,,
18 - 25 yrs,Functional English skills - Ability to SpeakCompulsory      Fluent Hindi skills - Ability to SpeakCompulsory,,Below 10th allowed,0 to 6 months of experience as Customer Care or Back Office Executive preferred,Full Time,,10:00 AM - 4:00 PM(day shift),Computer AwarenessConfidenceDedicationLocal AwarenessGroomingDressingModulationPleasantnessMS WordCompulsory,6 days|Off Days:Sunday,Freshers can Apply 6 months experience,Viman Nagar,,,
Above 18 yrs,Functional English skills - Ability to SpeakCompulsory      Functional Marathi skills - Ability to SpeakCompulsory      Good Hindi skills - Ability to SpeakCompulsory,,Graduation degree preferred,Freshers as Customer Care preferred,Full Time,,11:00 AM - 5:00 PM(day shift),Customer RetentionCompulsory,5 days  (Sunday),Freshers can Apply| Resume Required,Pune,,,
Above 18 yrs,Excellent English skills - Ability to Speak,,,,,,,,,,,,,
18 - 29 yrs,Good Hindi skills - Ability to Speak,,,,,,,,,,,,,
18 - 28 yrs,Good Hindi skills - Ability to Speak,,,,,,,,,,,,,
18 - 28 yrs,Good English skills - Ability to SpeakCompulsory      Good Hindi skills - Ability to SpeakCompulsory,,Below 10th allowed,Freshers as Customer Care in BPO / ITES or Real Estate preferred,Full Time,,,Computer AwarenessConfidenceCompulsory,6 days  (Sunday OFF),Freshers can Apply| Resume Required,Shivaji Nagar,,,
Above 18 yrs,,,Below 10th allowed,Freshers as Customer Care preferred,Full Time,,,,6 days,Freshers can Apply,New Delhi,,,
18 - 35 yrsCompulsory,Functional English skills - Ability to SpeakCompulsory      Fluent Hindi skills - Ability to Speak,PhotosCompulsory      Voter IDCompulsory      Aadhar CardCompulsory      Pan Card,10th pass mandatoryCompulsory,0 to 3 yrs of experience as Customer Care in Aviation / Airlines preferred,Full Time,candidates are not allowed with medical issueCompulsory      candidates must bring all documentsCompulsory,11:00 AM - 6:00 PM(day shift),good communication skillCompulsory      WELL GROOMED,,Freshers can Apply3 yrs experience| Resume Required,Dum Dum,,,
18 - 28 yrs,Good Hindi skills - Ability to Speak,,,,,,,,,,,,,
18 - 30 yrs,Fluent English skills - Ability to Speak,,,,,,,,,,,,,
18 - 28 yrs,Good Hindi skills - Ability to Speak,,,,,,,,,,,,,
18 - 35 yrsCompulsory,Excellent English skills - Ability to Speak,Voter IDCompulsory,12th pass preferred,0 to 1 yr of experience as Customer Care preferred,Full Time,,7:00 AM - 4:00 PM(day shift),,6 days  (Sunday Fixed Off),Freshers can Apply1 yr experience| Resume Required,Park Street area,,,
18 - 29 yrs,Functional English skills - Ability to SpeakCompulsory      Functional Hindi skills - Ability to SpeakCompulsory,,10th pass mandatoryCompulsory,Freshers as Back Office Executive or Customer Care preferred,Full Time,,10:00 AM - 6:00 PM(day shift),Computer AwarenessQuantitative AptitudeConfidenceDedicationHindi TypingMS WordPersonal GroomingCustomer RetentionCompulsory,5 days,Freshers can Apply,New Delhi,,,
18 - 30 yrsCompulsory,Good English skills - Ability to Speak,,,,,,,,,,,,,
18 - 28 yrs,Good English skills - Ability to Speak,,,,,,,,,,,,,
18 - 30 yrs,Good English skills - Ability to SpeakCompulsory      Good Hindi skills - Ability to SpeakCompulsory,Aadhar Card,12th pass preferred,Freshers as  Customer Care preferred,Full Time,,,,6 days,Freshers can Apply,New Delhi,,,
Above 18 yrs,,,12th pass mandatoryCompulsory,Freshers as Customer Care in BPO / ITES preferred,Full Time,,,ConfidenceCustomer RetentionCompulsory,6 days,Freshers can Apply,Richmond Town,,,
Above 18 yrs,Functional English skills - Ability to Speak     Functional Kannada skills - Ability to Speak     Functional Hindi skills - Ability to Speak,Photos     Aadhar Card     Marksheets and Degree     Pan Card,10th pass mandatoryCompulsory,Freshers as Customer Care in Retail / Wholesale preferred,,Full Time,,,7:30 AM - 5:00 PM(day shift)  1:00 PM - 10:00 PM(day shift|for Male Candidates only),ConfidenceDedicationPersonal GroomingCompulsory      teamwork,6 days  (any week days),Freshers can Apply| Resume Required,Indiranagar,
Above 18 yrs,Functional Hindi skills - Ability to Speak,,Below 10th allowed,Freshers as Customer Care preferred,Male preferred,Full Time,,,9:00 AM - 6:00 PM(day shift),ConfidenceCustomer RetentionCompulsory      Confidence,6 days  (sunday),Freshers can Apply,Sector 63,
18 - 34 yrs,,,12th pass preferred,0 to 3 yrs of experience as Customer Care in Information Technology and Services preferred,,Full Time,,,,Typing,5 days,Freshers can Apply3 yrs experience| Resume Required,HITEC City,
Above 18 yrs,Excellent English skills - Ability to Speak,,,,,,,,,,,,,
18 - 35 yrs,Good English skills - Ability to Speak     Good Hindi skills - Ability to Speak     Good Bengali skills - Ability to Speak,,10th pass mandatoryCompulsory,Freshers as Customer Care in Aviation / Airlines preferred,,Full Time,,,,,,Freshers can Apply,Dum Dum,
Above 20 yrs,Functional Hindi skills - Ability to Speak,Marksheets and Degree     Photos     Pan Card     Aadhar Card,12th pass mandatoryCompulsory, 6 months to 1 yr of experience as Customer Care in Telecom / ISP or Other preferred,Female preferred,Full Time,,,,ConfidenceDedicationCompulsory,6 days  (may be),6 monthsto1 yr experience,Laxmi Nagar,
Above 18 yrs,Good English skills - Ability to Speak & Read     Good Kannada skills - Ability to Speak & Read,2-Wheeler Driving License,10th pass preferred,Freshers as Customer Care preferred,,Full Time,,Bike/Scooter,,,6 days,Freshers can Apply,Siddhartha Layout,
18 - 28 yrs,Good Hindi skills - Ability to Speak,,,,,,,,,,,,,
18 - 30 yrs,Good English skills - Ability to Speak,,,,,,,,,,,,,
Above 18 yrsCompulsory,,,12th pass preferred,Freshers as Customer Care preferred,,Full Time,,,,ConfidenceDedicationCompulsory,,Freshers can Apply| Resume Required,Sector 57,
Above 18 yrs,Fluent Kannada skills - Ability to Speak,,,,,,,,,,,,,
18 - 28 yrs,,,12th pass preferred,0 to 6 months of experience as Customer Care preferred,,Full Time,,10:00 AM - 6:00 PM(day shift),ConfidenceDedicationLocal AwarenessCustomer RetentionCompulsory      DedicationLocal AwarenessMS WordCustomer Retention,5 days,Freshers can Apply 6 months experience,Uttam Nagar,,
Above 18 yrs,Excellent English skills - Ability to Speak,,,,,,,,,,,,,
18 - 25 yrs,Excellent English skills - Ability to Speak,,,,,,,,,,,,,
18 - 28 yrs,Good English skills - Ability to Speak,,,,,,,,,,,,,
18 - 30 yrsCompulsory,Good English skills - Ability to SpeakCompulsory,Pan CardCompulsory      Aadhar CardCompulsory,12th pass mandatoryCompulsory,Freshers as Customer Care in BPO / ITES preferred,Female preferred,Full Time,,10:00 AM - 7:00 PM(day shift),,6 days  (1),Freshers can Apply,Ghansoli,,
Above 18 yrs,Good English skills - Ability to Speak & Read     Good Kannada skills - Ability to Speak & Read,2-Wheeler Driving License,10th pass preferred,Freshers as Customer Care preferred,Male preferred,Full Time,Bike/Scooter,,,6 days,Freshers can Apply,Bommanahalli,,
18 - 27 yrs,Fluent English skills - Ability to Speak,,,,,,,,,,,,,
18 - 34 yrs,Good Hindi skills - Ability to Speak,Voter ID     Aadhar Card,12th pass preferred,Freshers as Customer Care preferred,,Full Time,,,,6 days,Freshers can Apply,Newtown,,
Above 18 yrs,Functional English skills - Ability to Speak     Functional Hindi skills - Ability to Speak,Cheque Book / Pass Book     Joining and Relieving Letters     Marksheets and Degree     Salary slips     Pan Card     Aadhar Card,Below 10th allowed,1 yr to 2 yrs of experience as Customer Care preferred,,Full Time,,9:00 AM - 6:00 PM(day shift),ConfidenceLocal AwarenessCustomer RetentionCompulsory,6 days,1 yrto2 yrs experience| Resume Required,Sangamvadi,,
18 - 30 yrs,Good Hindi skills - Ability to Speak     Good English skills - Ability to Speak,PhotosCompulsory      Salary slipsCompulsory      Joining and Relieving LettersCompulsory      Marksheets and DegreeCompulsory      Pan CardCompulsory      Aadhar CardCompulsory,Graduation degree mandatoryCompulsory,1 yr to 2 yrs of experience as Customer Care in BPO / ITES preferred,Male mandatoryCompulsory,Full Time,,,9:30 AM - 6:30 PM(day shift),,6 days  (Rotational Off),1 yrto2 yrs experience| Resume Required,Sector 44,
Above 18 yrs,,Aadhar Card,Below 10th allowed,Freshers as Customer Care in BPO / ITES preferred,,Full Time,,,,,1 days,Freshers can Apply| Resume Required,Sector 18,
18 - 27 yrs,Fluent English skills - Ability to Speak,,,,,,,,,,,,,
Above 18 yrsCompulsory,Good English skills - Ability to SpeakCompulsory,Joining and Relieving LettersCompulsory      Marksheets and DegreeCompulsory      PhotosCompulsory      Aadhar CardCompulsory      Salary slipsCompulsory      Pan CardCompulsory      Passport     Cheque Book / Pass Book     Electricity Bill     TR Driving License     4-Wheeler Driving License     2-Wheeler Driving License     Voter ID,12th pass mandatoryCompulsory,0 to 1 yr of experience as Customer Care in BPO / ITES preferred,,Full Time,Candidate should bring all the documents for the interviewCompulsory      Candidate should join ASAP,Other SmartPhone     Bike/Scooter     Car,10:00 PM - 6:00 AM(night shift),Computer AwarenessConfidenceDedicationCustomer RetentionCompulsory      Local AwarenessMS WordPersonal Grooming,6 days  (Alternate Saturdays),Freshers can Apply1 yr experience| Resume Required,Sector 63,
Above 18 yrs,,,Graduation degree preferred, 6 months to 1 yr of experience as Customer Care in IT- Software preferred,,Full Time,,Android Phone     Bike/Scooter,,Customer RetentionCompulsory      Local Awareness,,6 monthsto1 yr experience| Resume Required,Koramangala,
Above 18 yrs,,,Below 10th allowed,Freshers as Customer Care in Automobile preferred,,Full Time,,,,,,Freshers can Apply,Vashi,
18 - 25 yrs,,,Below 10th allowed, 6 months to 1 yr of experience as Customer Care in BPO / ITES preferred,Female preferred,Full Time,,,9:00 AM - 6:00 PM(day shift|for Male Candidates only),Computer AwarenessCustomer RetentionCompulsory,6 days  (Sunday),6 monthsto1 yr experience| Resume Required,Bandra West,
18 - 28 yrs,Good Hindi skills - Ability to Speak,,,,,,,,,,,,,
18 - 28 yrs,Good English skills - Ability to SpeakCompulsory      Good Hindi skills - Ability to SpeakCompulsory,,Graduation degree preferred,Freshers as Customer Care in BPO / ITES preferred,,Full Time,,,,,6 days  (Sunday OFF),Freshers can Apply,Shivaji Nagar,
18 - 30 yrs,Good English skills - Ability to Speak,,,,,,,,,,,,,
18 - 28 yrs,,,10th pass preferred,Freshers as Customer Care in BPO / ITES preferred,,Full Time,,,10:00 AM - 6:00 PM(day shift),ConfidenceDedicationCustomer RetentionCompulsory      DedicationLocal AwarenessMS WordCustomer Retention,6 days,Freshers can Apply,NIT,
Above 18 yrs,Excellent English skills - Ability to Speak,,,,,,,,,,,,,
18 - 30 yrs,Functional English skills - Ability to Read & Write     Fluent Hindi skills - Ability to Speak,Marksheets and Degree     Photos     Pan Card     Voter ID     Aadhar Card,10th pass preferred,0 to 4 yrs of experience as Customer Care in Aviation / Airlines preferred,,Full Time,candidates are not allowed with medical issue     candidates must bring all documents,,10:00 AM - 6:00 PM(day shift),good communication skillCompulsory      WELL GROOMED,6 days  (sunday),Freshers can Apply4 yrs experience| Resume Required,Newtown,
20 - 26 yrsCompulsory,Good English skills - Ability to Speak,,,,,,,,,,,,,
18 - 29 yrsCompulsory,Functional English skills - Ability to Speak     Functional Hindi skills - Ability to Speak,,12th pass mandatoryCompulsory,0 to 6 months of experience as Customer Care in Aviation / Airlines preferred,,Full Time,candidates are not allowed with medical issueCompulsory      candidates must bring all documents,,10:00 AM - 5:00 PM(day shift),good communication skillCompulsory      WELL GROOMED,,Freshers can Apply 6 months experience,Dum Dum,
Above 20 yrs,,,Graduation degree preferred,1 yr to 2 yrs of experience as Customer Care mandatoryCompulsory      Experience in BPO / ITES preferred,,Full Time,,,,,,1 yrto2 yrs experience| Resume Required,HBR Layout,
18 - 36 yrs,Good English skills - Ability to Speak,Pan Card     Aadhar Card,12th pass mandatoryCompulsory,Freshers as Customer Care in BPO / ITES preferred,,Full Time,Candidate Should Join As Soon As PossibleCompulsory,,9:00 AM - 5:00 PM(day shift),Customer RetentionCompulsory      Confidence,5 days  (Two Week offs),Freshers can Apply| Resume Required,Aundh,
21 - 32 yrs,Excellent English skills - Ability to Speak,,,,,,,,,,,,,
Above 18 yrs,,,12th pass preferred,Freshers as Customer Care in IT- Software preferred,Male preferred,Full Time,,,9:00 PM - 6:00 AM(day shift|for Male Candidates only),English speakingEnglish GrammarCompulsory      Communication,6 days  (Alternate Saturday off),Freshers can Apply,Uttam Nagar,
Above 18 yrs,Excellent English skills - Ability to Speak,,,,,,,,,,,,,
18 - 45 yrs,Excellent English skills - Ability to Speak,,,,,,,,,,,,,
18 - 35 yrs,Excellent English skills - Ability to Speak,,,,,,,,,,,,,
18 - 29 yrs,,,10th pass preferred,0 to 6 months of experience as Customer Care in BPO / ITES preferred,Part Time,,10:00 AM - 6:00 PM(day shift),Computer AwarenessConfidenceCustomer RetentionCompulsory      DedicationLocal AwarenessMS WordCustomer Retention,6 days,Freshers can Apply 6 months experience,Sector 62,,,
18 - 27 yrs,Good Hindi skills - Ability to Speak,,,,,,,,,,,,,
18 - 28 yrs,Good Hindi skills - Ability to Speak,,,,,,,,,,,,,
18 - 28 yrsCompulsory,Good Hindi skills - Ability to Speak,,,,,,,,,,,,,
Above 18 yrs,,,Below 10th allowed,Freshers as Customer Care preferred,Full Time,,,,,Freshers can Apply,Faridabad,,,
Above 18 yrs,Excellent English skills - Ability to Speak,,,,,,,,,,,,,
18 - 25 yrsCompulsory,Functional English skills - Ability to SpeakCompulsory      Fluent Hindi skills - Ability to SpeakCompulsory,,Below 10th allowed,0 to 6 months of experience as Back Office Executive or Customer Care preferred,Full Time,,10:00 AM - 4:00 PM(day shift),Computer AwarenessConfidenceDedicationLocal AwarenessGroomingDressingModulationPleasantnessMS WordCompulsory,6 days|Off Days:Sunday,Freshers can Apply 6 months experience,Borivali,,,
18 - 30 yrs,,,10th pass mandatoryCompulsory,Freshers preferred,Full Time  ,,10:30 AM - 5:30 PM(day shift),ConfidenceDedicationPersonal GroomingCompulsory      ConfidenceDedicationPersonal Grooming,,Freshers can Apply| Resume Required,Kolkata,,,
Above 18 yrs,Good English skills - Ability to Speak,,,,,,,,,,,,,
18 - 30 yrsCompulsory,Functional English skills - Ability to Speak     Fluent Hindi skills - Ability to Speak,Aadhar CardCompulsory,10th pass mandatoryCompulsory,0 to 4 yrs of experience as Customer Care in Aviation / Airlines preferred,Full Time,candidates are not allowed with medical issueCompulsory      candidates must bring all documentsCompulsory,,10:30 AM - 7:00 PM(day shift),good communication skillCompulsory      WELL GROOMED,,Freshers can Apply4 yrs experience| Resume Required,Madhyamgram,,
18 - 30 yrs,Fluent English skills - Ability to Speak,,,,,,,,,,,,,
18 - 30 yrs,Functional English skills - Ability to Speak,Marksheets and Degree     Aadhar Card     Photos     Voter ID,12th pass preferred,Freshers as Customer Care in Education / Training or Aviation / Airlines preferred,Full Time,,,,ConfidencePersonal GroomingCustomer RetentionCompulsory      ConfidenceLocal AwarenessPersonal GroomingCustomer Retention,6 days,Freshers can Apply,Dum Dum,,
Above 18 yrs,Good English skills - Ability to Speak,,,,,,,,,,,,,
18 - 29 yrsCompulsory,Good Hindi skills - Ability to Speak & ReadCompulsory      Good English skills - Ability to Speak,,,,,,,,,,,,,
18 - 28 yrs,Good English skills - Ability to Speak,,,,,,,,,,,,,
18 - 32 yrs,Excellent English skills - Ability to Speak,Pan Card     Aadhar Card,12th pass preferred,0 to 5 yrs of experience as Customer Care or Telesales / Telemarketing in BPO / ITES preferred,Full Time,,,9:00 AM - 6:30 PM(day shift),,6 days  (Rotational OFF),Freshers can Apply5 yrs experience,Jagatpura,,
Above 18 yrs,,,12th pass mandatoryCompulsory,Freshers as Customer Care in Aviation / Airlines preferred,Full Time,,,9:30 AM - 6:30 PM(day shift),,6 days  (1),Freshers can Apply,Dum Dum,,
18 - 30 yrs,Excellent English skills - Ability to Speak,,,,,,,,,,,,,
18 - 35 yrs,Fluent English skills - Ability to Speak,,,,,,,,,,,,,
18 - 29 yrs,Good Hindi skills - Ability to Speak,,,,,,,,,,,,,
18 - 32 yrsCompulsory,Fluent English skills - Ability to SpeakCompulsory,Pan CardCompulsory      Aadhar CardCompulsory,Graduation degree mandatoryCompulsory,Freshers as Customer Care in BPO / ITES preferred,,Full Time,,,10:00 AM - 7:00 PM(day shift),Quantitative AptitudeConfidenceDedicationPersonal GroomingCompulsory,5 days,Freshers can Apply,Vashi,
18 - 30 yrs,Fluent English skills - Ability to Speak,,,,,,,,,,,,,
Above 18 yrs,Fluent English skills - Ability to Speak,Voter ID,Graduation degree preferred, 6 months to 1 yr of experience as Customer Care in Real Estate preferred,Female preferred,Full Time,,,10:00 AM - 7:00 PM(day shift),Computer AwarenessCompulsory      Computer Awareness,6 days  (sunday off),6 monthsto1 yr experience,Burari,
Above 18 yrs,Good English skills - Ability to Speak & Read     Good Kannada skills - Ability to Speak & Read,2-Wheeler Driving License,10th pass preferred,Freshers as Customer Care preferred,Male preferred,Full Time,,Bike/Scooter,,,6 days,Freshers can Apply,Mysuru,
Above 18 yrs,,,12th pass mandatoryCompulsory,Freshers as Customer Care preferred,Female mandatoryCompulsory,Full Time,,,,,,Freshers can Apply,Madhapur,
18 - 27 yrs,Good English skills - Ability to Speak,,,,,,,,,,,,,
Above 18 yrs,Fluent English skills - Ability to Speak,,,,,,,,,,,,,
Above 18 yrs,Good English skills - Ability to Speak & Read     Good Kannada skills - Ability to Speak & Read,2-Wheeler Driving License,10th pass preferred,Freshers as Customer Care preferred,Male preferred,Full Time,,Bike/Scooter,,,6 days,Freshers can Apply,Rajaji Nagar,
18 - 34 yrsCompulsory,Fluent English skills - Ability to SpeakCompulsory      Fluent Kannada skills - Ability to Speak     Fluent Malayalam skills - Ability to Speak,Pan CardCompulsory      Aadhar CardCompulsory,12th pass mandatoryCompulsory,Freshers as Customer Care in BPO / ITES preferred,,Full Time,,8:00 AM - 5:00 PM(day shift)  9:00 AM - 6:00 PM(day shift)  10:00 AM - 7:00 PM(day shift)  11:00 AM - 8:00 PM(day shift)  12:00 PM - 9:00 PM(day shift),,6 days  (1),Freshers can Apply| Resume Required,Ghansoli,,
Above 18 yrs,Good English skills - Ability to Speak & Read     Good Kannada skills - Ability to Speak & Read,2-Wheeler Driving License,10th pass preferred,Freshers as Customer Care preferred,Male preferred,Full Time,Bike/Scooter,,,6 days,Freshers can Apply,Nagawara,,
Above 18 yrs,Fluent English skills - Ability to Speak,,Below 10th allowed,Freshers as Customer Care preferred,,Full Time,,7:30 PM - 4:30 AM(night shift),,5 days,Freshers can Apply| Resume Required,Ambegaon BK,,
Above 18 yrs,Fluent English skills - Ability to Speak,,,,,,,,,,,,,
18 - 28 yrs,Fluent English skills - Ability to Speak & Read     Fluent Hindi skills - Ability to Speak & Read,Marksheets and Degree     Photos     Voter ID     Pan Card     Aadhar Card,12th pass preferred,Freshers as Customer Care in Real Estate or Aviation / Airlines preferred,,Full Time,,10:00 AM - 6:00 PM(day shift),Computer AwarenessConfidenceMS WordCompulsory,6 days,Freshers can Apply,Kaikhali,,
18 - 29 yrs,Good English skills - Ability to Speak,,,,,,,,,,,,,
18 - 30 yrs,Good English skills - Ability to Speak,Voter ID     Aadhar Card,12th pass preferred,Freshers as Customer Care preferred,,Full Time,,,,5 days,Freshers can Apply,Ichapur,,
Above 18 yrsCompulsory,Fluent English skills - Ability to Speak,,,,,,,,,,,,,
Above 18 yrs,Fluent English skills - Ability to Speak,,,,,,,,,,,,,
Above 18 yrs,Fluent Kannada skills - Ability to Speak,,,,,,,,,,,,,
34 - 35 yrs,,,Below 10th allowed,Freshers as Customer Care in Accounting / Finance preferred,Female preferred,Full Time,,9:00 AM - 5:00 PM(day shift),,5 days,Freshers can Apply| Resume Required,LIC Colony,,
18 - 35 yrs,Functional Marathi skills - Ability to Speak     Good Hindi skills - Ability to Speak     Good English skills - Ability to Speak,Marksheets and DegreeCompulsory      PhotosCompulsory      Pan CardCompulsory      Aadhar CardCompulsory      Electricity Bill,12th pass preferred,Freshers as Customer Care in BPO / ITES preferred,,Full Time,,9:30 AM - 6:30 PM(day shift),,6 days  (Sunday),Freshers can Apply,Sanpada,,
Above 18 yrs,Fluent English skills - Ability to Speak,,,,,,,,,,,,,
Above 18 yrs,,,Below 10th allowed,Freshers as Customer Care preferred,,Full Time,,7:30 PM - 4:30 AM(night shift),,5 days,Freshers can Apply| Resume Required,Ambegaon BK,,
18 - 32 yrs,Good English skills - Ability to Speak     Good Hindi skills - Ability to Speak,Photos     Voter ID     Passport     Pan Card     Aadhar Card,12th pass preferred,Freshers as Customer Care in Aviation / Airlines preferred,,Full Time,,10:00 AM - 8:00 PM(day shift),Personal GroomingCustomer RetentionCompulsory      Good communication skillsPersonal Grooming,6 days  (1),Freshers can Apply| Resume Required,Salt Lake City,,
Above 18 yrs,Good English skills - Ability to Speak,,,,,,,,,,,,,
18 - 30 yrs,Fluent English skills - Ability to Speak,,,,,,,,,,,,,
18 - 32 yrsCompulsory,Excellent English skills - Ability to Speak,,,,,,,,,,,,,
18 - 35 yrs,Fluent Hindi skills - Ability to Speak     Functional English skills - Ability to Speak & Read,Aadhar Card,12th pass preferred,0 to 4 yrs of experience as Customer Care in BPO / ITES preferred,,Full Time,,9:30 AM - 7:00 PM(day shift),Computer AwarenessConfidenceDedicationCustomer RetentionCompulsory,6 days  (Alternate Offs),Freshers can Apply4 yrs experience| Resume Required,Moti Nagar,,
18 - 30 yrsCompulsory,Fluent English skills - Ability to Speak,,,,,,,,,,,,,
Above 18 yrs,Good English skills - Ability to Speak,,,,,,,,,,,,,
18 - 40 yrs,Fluent English skills - Ability to Speak,,,,,,,,,,,,,
Above 18 yrs,Good English skills - Ability to SpeakCompulsory,,12th pass preferred,Freshers as Customer Care preferred,Full Time,,,,6 days,Freshers can Apply,Navi Mumbai,,,
18 - 35 yrs,Good Hindi skills - Ability to Speak     Functional English skills - Ability to Speak,Aadhar Card     Photos,Below 10th allowed,Freshers as Customer Care preferred,Full Time,,10:30 AM - 6:00 PM(day shift),Computer AwarenessCompulsory      Computer AwarenessConfidenceCustomer Retention,5 days  (2),Freshers can Apply,Mumbai,,,
18 - 33 yrsCompulsory,,,12th pass preferred,Freshers as Customer Care preferred,Full Time,,10:30 AM - 6:30 PM(day shift),Customer RetentionCompulsory,6 days,Freshers can Apply,Allahabad,,,
20 - 32 yrsCompulsory,Excellent Kannada skills - Ability to SpeakCompulsory      Excellent English skills - Ability to SpeakCompulsory,,Graduation degree mandatoryCompulsory,2 yrs to 4 yrs of experience as Accountant in Banking / Financial Services / Insurance mandatoryCompulsory,Full Time,,9:00 AM - 7:00 PM(day shift),,6 days|Off Days:Sunday,2 yrsto4 yrs experience,Bengaluru,,,
Above 18 yrs,Good Hindi skills - Ability to Speak,Aadhar Card,12th pass preferred,Freshers as Customer Care preferred,Full Time,Cycle,10:00 AM - 6:00 PM(day shift),Customer RetentionCompulsory,5 days  (sunday),Freshers can Apply,Kolkata,,,
Above 18 yrs,,,Below 10th allowed,Freshers as Customer Care preferred,Full Time,,9:00 AM - 6:00 PM(day shift),ConfidenceCustomer RetentionCompulsory      Confidence,6 days  (rotational),Freshers can Apply,Sector 57,,,
18 - 35 yrs,Good Hindi skills - Ability to Speak     Functional English skills - Ability to Speak,Aadhar Card     Photos,12th pass preferred,Freshers as Customer Care in BPO / ITES preferred,Full Time,,10:00 AM - 5:30 PM(day shift),"""domestic bpo""Compulsory      call center",6 days  (1),Freshers can Apply,Mumbai Central,,,
