Age,Communication,Documents,Education,Experience,Job Benefits,Job Type,Others,Shift Timings,Skills,Working Days,experience,location,salary_max,salary_min
25 - 33 yrsCompulsory,Fluent Tamil skills - Ability to SpeakCompulsory      Excellent English skills - Ability to Speak,,,,,,,,,,,,,
18 - 28 yrs,Functional Hindi skills - Ability to Speak,,12th pass preferred,Freshers as Customer Care in BPO / ITES preferred,,Full Time,,10:00 AM - 6:00 PM(day shift),,6 days  (Sunday),Freshers can Apply,Sector 62,,
18 - 30 yrs,Good English skills - Ability to Speak,,,,,,,,,,,,,
18 - 30 yrs,Good English skills - Ability to Speak,Marksheets and Degree     Photos     Voter ID     Passport     Pan Card     Aadhar Card,10th pass preferred,Freshers as Customer Care preferred,,Full Time,,11:00 AM - 1:30 PM(day shift),Quantitative AptitudeConfidencePersonal GroomingCompulsory      Computer AwarenessConfidence,6 days,Freshers can Apply,Rajarhat,,
18 - 29 yrs,Good Hindi skills - Ability to Speak,,,,,,,,,,,,,
Above 18 yrsCompulsory,Fluent English skills - Ability to Speak,,,,,,,,,,,,,
18 - 30 yrs,Fluent English skills - Ability to Speak,,,,,,,,,,,,,
18 - 28 yrs,,,12th pass preferred,Freshers as Customer Care preferred,Full Time,,10:00 AM - 6:00 PM(day shift),DedicationLocal AwarenessMS WordCompulsory      Computer AwarenessDedicationLocal AwarenessMS Word,6 days,Freshers can Apply,Anand Vihar,,,
18 - 29 yrs,,,10th pass preferred, 6 months to 1 yr of experience as Customer Care preferred,Full Time,,10:00 AM - 6:00 PM(day shift),Computer AwarenessConfidenceCustomer RetentionCompulsory      ConfidenceDedicationLocal AwarenessCustomer Retention,6 days|Off Days:Sunday,6 monthsto1 yr experience,New Delhi,,,
Above 18 yrs,Good Hindi skills - Ability to SpeakCompulsory,,Below 10th allowed,Freshers as Customer Care preferred,Full Time,,,,6 days,Freshers can Apply,CP,,,
18 - 28 yrs,,,10th pass preferred,0 to 6 months of experience as Customer Care preferred,Full Time,,10:00 AM - 6:00 PM(day shift),ConfidenceDedicationCustomer RetentionCompulsory      ConfidenceDedicationLocal AwarenessCustomer Retention,6 days,Freshers can Apply 6 months experience,Ballabgarh,,,
18 - 28 yrs,Fluent Hindi skills - Ability to Speak,,,,,,,,,,,,,
18 - 29 yrs,Good Hindi skills - Ability to Speak,,,,,,,,,,,,,
18 - 35 yrs,Functional English skills - Ability to Speak     Functional Hindi skills - Ability to Speak,,12th pass preferred,0 to 6 months of experience as Customer Care in Aviation / Airlines preferred,Full Time,,10:00 AM - 6:00 PM(day shift),GOOD COMMUNIACTIONCompulsory,6 days  (1),Freshers can Apply 6 months experience,Dum Dum,,,
18 - 30 yrs,,,Below 10th allowed     Bachelor of Commerce (B.Com.) preferred,0 to 6 months of experience as Customer Care in BPO / ITES preferred,Full Time,,9:30 AM - 6:30 PM(day shift)  9:30 AM - 6:30 PM(day shift),,5 days,Freshers can Apply 6 months experience| Resume Required,HSR Layout,,,
18 - 29 yrs,Good Hindi skills - Ability to Speak,,,,,,,,,,,,,
18 - 29 yrs,,,10th pass preferred,0 to 6 months of experience as Customer Care in BPO / ITES preferred,,Part Time,,,10:00 AM - 6:00 PM(day shift),DedicationLocal AwarenessMS WordPersonal GroomingCompulsory      DedicationLocal AwarenessMS WordCustomer Retention,6 days,Freshers can Apply 6 months experience,Sector 14,
18 - 30 yrs,Good English skills - Ability to SpeakCompulsory      Fluent Kannada skills - Ability to SpeakCompulsory      Fluent Tamil skills - Ability to SpeakCompulsory,,12th pass mandatoryCompulsory,Freshers as Customer Care preferred,,Full Time,,,,,6 days,Freshers can Apply,Alwal,
Above 18 yrs,Fluent English skills - Ability to Speak,,,,,,,,,,,,,
18 - 29 yrs,Good Hindi skills - Ability to Speak,,,,,,,,,,,,,
18 - 30 yrs,Good English skills - Ability to Speak,,,,,,,,,,,,,
18 - 29 yrs,Good Hindi skills - Ability to Speak,,,,,,,,,,,,,
18 - 30 yrs,Good English skills - Ability to Speak & Read     Good Hindi skills - Ability to Speak & Read,,10th pass preferred,0 to 6 months of experience as Customer Care in Aviation / Airlines preferred,,Full Time,,,10:00 AM - 7:00 PM(day shift),Customer RetentionCompulsory,6 days,Freshers can Apply 6 months experience,Dum Dum,
18 - 28 yrs,Good English skills - Ability to Speak,,,,,,,,,,,,,
18 - 19 yrsCompulsory,Good English skills - Ability to SpeakCompulsory,Marksheets and Degree     Aadhar Card     Pan Card,Below 10th allowed, 6 months to 1 yr of experience as Customer Care preferred,,Full Time,,,9:30 AM - 7:00 PM(day shift),ConfidenceCompulsory      Customer Retention,6 days,6 monthsto1 yr experience| Resume Required,Begumpet,
18 - 29 yrs,Good Hindi skills - Ability to Speak,,,,,,,,,,,,,
18 - 29 yrs,Good Hindi skills - Ability to Speak,,,,,,,,,,,,,
18 - 32 yrs,Good English skills - Ability to Speak     Good Hindi skills - Ability to Speak     Good Bengali skills - Ability to Speak,,12th pass preferred,0 to 6 months of experience as Customer Care in Aviation / Airlines preferred,,Full Time,,,10:00 AM - 6:00 PM(day shift),DedicationPersonal GroomingCompulsory,6 days,Freshers can Apply 6 months experience| Resume Required,Garia,
19 - 38 yrsCompulsory,Excellent English skills - Ability to SpeakCompulsory,Pan CardCompulsory      Aadhar CardCompulsory,12th pass preferred,Freshers as Customer Care preferred,,Full Time,,,,ConfidenceCompulsory,6 days,Freshers can Apply,Thane West,
18 - 40 yrs,Good English skills - Ability to Speak     Good Hindi skills - Ability to Speak,,Below 10th allowed,Freshers as Customer Care in Recruitment / Staffing / RPO preferred,,Full Time,,,9:00 AM - 6:00 PM(day shift),Computer AwarenessCompulsory      Confidence,6 days  (Sunday),Freshers can Apply| Resume Required,Fort Mohalla,
18 - 29 yrs,Good Hindi skills - Ability to Speak,,,,,,,,,,,,,
Above 18 yrs,Good English skills - Ability to Speak     Good Hindi skills - Ability to Speak     Good Malayalam skills - Ability to Speak,Pan Card     Cheque Book / Pass Book     Aadhar Card,10th pass preferred,Freshers as Customer Care in BPO / ITES or Telecom / ISP preferred,,Full Time,,,12:00 PM - 9:00 PM(day shift)  11:00 AM - 8:00 PM(day shift)  9:00 AM - 6:00 PM(day shift)  10:00 AM - 7:00 PM(day shift),ConfidenceDedicationCompulsory      Confidence,6 days  (Rotational off),Freshers can Apply,Chandan Nagar,
18 - 25 yrsCompulsory,Good English skills - Ability to SpeakCompulsory      Good Hindi skills - Ability to SpeakCompulsory      Good Marathi skills - Ability to SpeakCompulsory,,12th pass mandatoryCompulsory,Freshers as Customer Care preferred,,Full Time,,,10:00 AM - 6:00 PM(day shift),,5 days  (sat & sun),Freshers can Apply,Viman Nagar,
Above 18 yrs,Good English skills - Ability to Speak & Read     Good Kannada skills - Ability to Speak & Read,2-Wheeler Driving License,10th pass preferred,Freshers as Customer Care preferred,Male preferred,Full Time,,Bike/Scooter,,,6 days,Freshers can Apply,Udayagiri,
28 - 35 yrs,Functional English skills - Ability to Speak,,,,,,,,,,,,,
Above 18 yrs,Good English skills - Ability to Speak     Functional Hindi skills - Ability to Speak     Functional Marathi skills - Ability to Speak,Aadhar Card,Below 10th allowed,Freshers as Customer Care preferred,,Full Time,,9:30 AM - 6:00 PM(day shift),,5 days  (sunday),Freshers can Apply,Mumbai,,
18 - 29 yrsCompulsory,Functional English skills - Ability to Speak     Excellent Hindi skills - Ability to Speak,,Below 10th allowed,0 to 6 months of experience as Customer Care or Back Office Executive preferred,,Full Time,,10:00 AM - 6:00 PM(day shift),Computer AwarenessQuantitative AptitudeConfidenceDedicationLocal AwarenessMS WordPersonal GroomingCustomer RetentionCompulsory,5 days  (sat & sun),Freshers can Apply 6 months experience,Rohini,,
Above 18 yrs,,,12th pass preferred,Freshers as Customer Care preferred,,Full Time,,,,,Freshers can Apply,Sector 32,,
Above 18 yrs,Good Hindi skills - Ability to Speak,,Graduation degree preferred, 6 months to 1 yr of experience as Customer Care in Healthcare / Medical preferred,,Full Time,,,,6 days  (sunday),6 monthsto1 yr experience| Resume Required,Rasulgarh,,
18 - 32 yrs,Good English skills - Ability to Speak,,,,,,,,,,,,,
18 - 40 yrs,Good English skills - Ability to SpeakCompulsory,,12th pass mandatoryCompulsory,0 to 10 yrs of experience as Customer Care in BPO / ITES preferred,,Full Time,,1:00 PM - 10:00 PM(day shift)  6:30 AM - 3:00 PM(day shift),ConfidenceCompulsory      Personal Grooming,5 days  (every saturday sunday),Freshers can Apply10 yrs experience,Salt Lake City,,
18 - 35 yrs,Fluent English skills - Ability to Speak,,,,,,,,,,,,,
18 - 28 yrs,Good Hindi skills - Ability to Speak,,,,,,,,,,,,,
Above 18 yrs,Good English skills - Ability to Speak & Read     Fluent Kannada skills - Ability to Speak & Read,2-Wheeler Driving License,10th pass preferred,Freshers as Customer Care preferred,Male preferred,Full Time,,,,6 days,Freshers can Apply,Bannerughatta,,
18 - 28 yrs,,,12th pass preferred,0 to 6 months of experience as Customer Care preferred,Full Time,,10:00 AM - 6:00 PM(day shift),ConfidenceDedicationCustomer RetentionCompulsory      DedicationLocal AwarenessMS WordCustomer Retention,6 days,Freshers can Apply 6 months experience,Indirapuram,,,
18 - 22 yrsCompulsory,Functional English skills - Ability to Read & Write     Good Hindi skills - Ability to Speak,,,,,,,,,,,,,
18 - 28 yrs,Good Hindi skills - Ability to Speak,,,,,,,,,,,,,
18 - 30 yrs,Fluent English skills - Ability to Speak,,,,,,,,,,,,,
18 - 28 yrs,Functional English skills - Ability to SpeakCompulsory      Functional Hindi skills - Ability to SpeakCompulsory,,12th pass preferred,0 to 6 months of experience as Customer Care preferred,Full Time,,10:00 AM - 6:00 PM(day shift),Computer AwarenessQuantitative AptitudeConfidenceDedicationLocal AwarenessMS WordPersonal GroomingCustomer RetentionCompulsory,5 days  (SAT & SUN),Freshers can Apply 6 months experience,Hauz Khas,,,
18 - 30 yrs,Good Hindi skills - Ability to SpeakCompulsory,,10th pass preferred,Freshers as Customer Care preferred,Full Time,,,,,Freshers can Apply,New Delhi,,,
18 - 35 yrs,Excellent English skills - Ability to SpeakCompulsory,,12th pass preferred,Freshers as Customer Care preferred,Full Time,,,Computer AwarenessConfidenceDedicationLocal AwarenessMS WordPersonal GroomingCompulsory,5 days  (Rotational OFF),Freshers can Apply,Bengaluru,,,
Above 18 yrs,,,Below 10th allowed,Freshers as Customer Care preferred,Full Time,,,,,Freshers can Apply,Faridabad,,,
18 - 25 yrs,Functional English skills - Ability to SpeakCompulsory      Fluent Hindi skills - Ability to SpeakCompulsory,,Below 10th allowed,Freshers as Customer Care preferred,Full Time,,10:00 AM - 4:00 PM(day shift),Computer AwarenessConfidenceDedicationLocal AwarenessGroomingDressingModulationPleasantnessMS WordCompulsory,6 days|Off Days:Sunday,Freshers can Apply,Hauz Khas,,,
Above 18 yrs,,Aadhar Card,Below 10th allowed,Freshers as Customer Care preferred,Full Time,,,,6 days,Freshers can Apply,Faridabad,,,
18 - 30 yrs,Functional English skills - Ability to SpeakCompulsory      Functional Hindi skills - Ability to SpeakCompulsory      Good Bengali skills - Ability to SpeakCompulsory,,12th pass preferred,Freshers as Customer Care in Aviation / Airlines preferred,,Full Time,,,Good CommunicationCompulsory,,Freshers can Apply,Kolkata,,
19 - 35 yrsCompulsory,Good English skills - Ability to SpeakCompulsory,Pan CardCompulsory      Aadhar CardCompulsory,12th pass mandatoryCompulsory,Freshers as Customer Care in BPO / ITES preferred,,Full Time,,10:00 AM - 7:00 PM(day shift),,6 days  (1),Freshers can Apply,Navi Mumbai,,
Above 18 yrs,,,Below 10th allowed,0 to 5 yrs of experience as Customer Care preferred,,Full Time,,,,,Freshers can Apply5 yrs experience| Resume Required,Koramangala,,
18 - 28 yrs,Fluent English skills - Ability to Speak,,,,,,,,,,,,,
18 - 28 yrs,Good Hindi skills - Ability to Speak,,,,,,,,,,,,,
18 - 30 yrs,Fluent English skills - Ability to Speak,,,,,,,,,,,,,
18 - 28 yrs,,,10th pass preferred,0 to 6 months of experience as Customer Care in BPO / ITES preferred,,Full Time,,10:00 AM - 6:00 PM(day shift),Quantitative AptitudeLocal AwarenessMS WordPersonal GroomingCompulsory      Computer AwarenessConfidenceDedicationCustomer Retention,6 days,Freshers can Apply 6 months experience,Ballabgarh,,
18 - 30 yrsCompulsory,Good English skills - Ability to SpeakCompulsory,Pan CardCompulsory      Aadhar CardCompulsory,12th pass mandatoryCompulsory,Freshers as Customer Care in BPO / ITES preferred,,Full Time,,10:00 AM - 7:00 PM(day shift),,6 days  (1),Freshers can Apply,Ghansoli,,
Above 18 yrs,Good English skills - Ability to Speak,,,,,,,,,,,,,
Above 18 yrs,,,12th pass preferred,Freshers as Admin Executive or Bartender preferred,,Full Time,,,,6 days,Freshers can Apply,Dum Dum,,
Above 18 yrs,,,Below 10th allowed,Freshers as Customer Care preferred,,Full Time,,,,,6 days  (sunday),Freshers can Apply,Newtown,
18 - 31 yrs,Functional English skills - Ability to Speak     Functional Hindi skills - Ability to Speak,,12th pass preferred,0 to 6 months of experience as Customer Care in Aviation / Airlines preferred,Female preferred,Full Time,,,10:00 AM - 6:00 PM(day shift),good communication skillCompulsory,6 days  (1),Freshers can Apply 6 months experience,Dum Dum,
