Age|Communication|Documents|Education|Experience|Job Type|Others|Ownership|Shift Timings|Skills|Working Days|experience|location|salary_max|salary_min
Above 18 yrs|Good English skills - Ability to Speak     Functional Hindi skills - Ability to Speak     Functional Marathi skills - Ability to Speak|Aadhar Card|Below 10th allowed|Freshers as Customer Care preferred|Full Time|||9:30 AM - 6:00 PM(day shift)||5 days  (sunday)|Freshers can Apply|Mumbai, MumbaiMalad West, Mumbai+3 more|25.80K |15,500
18 - 28 yrs|Good Hindi skills - Ability to Speak, Read & Write||12th pass preferred|Freshers as Network / Security / System Administration in BPO / ITES preferred|Full Time|Good Communication     Good Communication||10:00 AM - 6:00 PM(day shift)|ConfidenceCompulsory      Dedication|6 days  (Sunday)|Freshers can Apply|Sector 62, NoidaNoida, Gautam Buddh Nagar+2 more|24,500|13,500
18 - 33 yrs|Fluent English skills - Ability to Speak     Fluent Kannada skills - Ability to Speak||Graduation degree preferred|2 yrs to 4 yrs of experience as Telesales / Telemarketing in BPO / ITES preferred|Full Time|||9:30 AM - 6:30 PM(day shift)|Computer AwarenessMS WordCustomer RetentionCompulsory      ConfidenceCustomer Retention|6 days  (Sunday)|"2 yrsto4 yrs experience| Resume Required"|Koramangala, BengaluruAdugodi, Bengaluru|4Lac |3.50Lac 
18 - 35 yrs|Good English skills - Ability to Speak     Good Hindi skills - Ability to Speak|Aadhar Card     Photos|12th pass preferred|Freshers as Customer Care in BPO / ITES preferred|Full Time|||10:00 AM - 5:30 PM(day shift)|ConfidenceCustomer RetentionCompulsory      Computer Awareness|6 days  (1)|Freshers can Apply|Vashi, Navi Mumbai|25.87K |15,480
Above 18 yrs|Good English skills - Ability to Speak, Read & WriteCompulsory||12th pass mandatoryCompulsory|1 yr to 2 yrs of experience as Telesales / Telemarketing mandatoryCompulsory      Experience in BPO / ITES preferred|Full Time|||||1 days|1 yrto2 yrs experience|Navi Mumbai, Thane|35K |18,000
18 - 35 yrs|Good English skills - Ability to Speak     Good Hindi skills - Ability to Speak|Aadhar Card     Photos|12th pass preferred|Freshers as Customer Care in BPO / ITES preferred|Full Time|||10:00 AM - 5:00 PM(day shift)|Computer AwarenessCompulsory      Confidence|6 days  (1)|Freshers can Apply|Mulund West, Mumbai|25.27K |15,430
18 - 35 yrs|Good Hindi skills - Ability to Speak     Functional English skills - Ability to Speak|Aadhar Card     Photos|12th pass preferred|Freshers as Customer Care in BPO / ITES preferred|Full Time|||10:00 AM - 5:30 PM(day shift)|"""domestic bpo""Compulsory      call center"|6 days  (1)|Freshers can Apply|Mumbai Central, Mumbai|23,450|13,760
18 - 30 yrs|Functional English skills - Ability to Speak     Functional Marathi skills - Ability to Speak     Functional Hindi skills - Ability to Speak|Aadhar Card|Below 10th allowed|Freshers as Delivery Boy preferred|Full Time||Bike/Scooter|||6 days  (sunday)|Freshers can Apply|Bandra West, MumbaiBorivali, Mumbai+3 more|25.80K |15,000
18 - 32 yrs|Good English skills - Ability to Speak, Read & Write||12th pass preferred|Freshers as Customer Care in BPO / ITES preferred|Full Time||||inbound processVoice ProcessChat processnon voice processCustomer RetentionBusiness Process Outsourcing (BPO)|6 days|Freshers can Apply|SAS Nagar, SAS NagarSector 67, SAS Nagar|15,000|9,000
18 - 24 yrs|Good English skills - Ability to Speak, Read & Write     Good Hindi skills - Ability to Speak||Below 10th allowed|Freshers as Telesales / Telemarketing preferred|Full Time|Immediate joineeCompulsory|||DedicationCustomer RetentionCompulsory      Confidence|6 days|Freshers can Apply|Vijayanagar, BengaluruViveka Nagar, Bengaluru|2.50Lac |2Lac 
Above 18 yrs|||12th pass preferred|Freshers as Customer Care in IT- Software preferred|Male preferred|Full Time||"9:00 PM - 6:00 AM(day shift|for Male Candidates only)"|English speakingEnglish GrammarCompulsory      Communication|6 days  (Alternate Saturday off)|Freshers can Apply|Uttam Nagar, New Delhi|15,000|10,000
18 - 35 yrs|Functional English skills - Ability to Speak     Good Hindi skills - Ability to Speak||12th pass preferred|Freshers as Back Office Executive in BPO / ITES preferred||Full Time||10:30 AM - 5:30 PM(day shift)|Computer AwarenessCompulsory      Confidence|6 days  (1)|Freshers can Apply|Vashi, Navi Mumbai|3.40Lac |2.33Lac 
Above 18 yrs|Good English skills - Ability to Speak, Read & Write     Excellent Kannada skills - Ability to Speak, Read & Write     Good Tamil skills - Ability to Speak, Read & Write|Salary slips     Joining and Relieving Letters     Aadhar Card|Graduation degree mandatoryCompulsory|2 yrs to 5 yrs of experience as Customer Care in BPO / ITES preferred||Full Time|should have to join immediatelyCompulsory      should have to submit all documents on the date of joiningCompulsory||||2 yrsto5 yrs experience|Koramangala, BengaluruAdugodi, Bengaluru+1 more|40K |25K 
Above 18 yrs|||Below 10th allowed|Freshers as Customer Care preferred||Full Time|||||Freshers can Apply|Thane, ThaneAiroli, Navi Mumbai+1 more|5Lac |3Lac 
18 - 35 yrs|Good Hindi skills - Ability to Speak     Good English skills - Ability to Speak|Aadhar Card     Photos|10th pass preferred|Freshers as Customer Care in BPO / ITES preferred||Full Time||10:00 AM - 5:30 PM(day shift)|Computer AwarenessConfidenceCompulsory|6 days  (1)|Freshers can Apply|Andheri West, Mumbai|3.20Lac |2.30Lac 
18 - 35 yrs|Fluent English skills - Ability to Speak     Fluent Kannada skills - Ability to Speak     Fluent Hindi skills - Ability to Speak||Graduation degree preferred|3 yrs to 4 yrs of experience as Customer Care in BPO / ITES preferred||Full Time||9:30 AM - 6:30 PM(day shift)||6 days  (Sunday)|"3 yrsto4 yrs experience| Resume Required"|Koramangala, BengaluruWhitefield, Bengaluru+3 more|4.20Lac |3.50Lac 
18 - 35 yrs|Excellent English skills - Ability to Speak, Read & Write||12th pass preferred|0 to 5 yrs of experience as Customer Care preferred||Full Time|CANDIDATE MUST JOIN IMMEDIATELY|3:00 PM - 12:00 AM(day shift)|Computer AwarenessConfidenceCompulsory|6 days|Freshers can Apply5 yrs experience|Gomti Nagar, Lucknow|18,500|8,500
18 - 35 yrs|Fluent English skills - Ability to Speak, Read & WriteCompulsory      Fluent Hindi skills - Ability to Speak, Read & WriteCompulsory      Fluent Gujarati skills - Ability to Speak, Read & WriteCompulsory||12th pass mandatoryCompulsory|0 to 3 yrs of experience as Customer Care in BPO / ITES preferred||Full Time|||Computer AwarenessCustomer RetentionCompulsory||Freshers can Apply3 yrs experience|Sector 27, Gandhinagar|15,000|11,000
18 - 28 yrs|||12th pass preferred|Freshers as Customer Care preferred||Full Time||10:00 AM - 6:00 PM(day shift)|DedicationLocal AwarenessMS WordCompulsory      Computer AwarenessDedicationLocal AwarenessMS Word|6 days|Freshers can Apply|Anand Vihar, New DelhiHari Nagar Ashram, New Delhi+3 more|3.40Lac |1.20Lac 
Above 18 yrs||Aadhar Card|Below 10th allowed|Freshers as Customer Care in BPO / ITES preferred||Full Time||||1 days|"Freshers can Apply| Resume Required"|Sector 18, Gurgaon|17,000|12,000
18 - 35 yrs|Good English skills - Ability to Speak     Good Hindi skills - Ability to Speak||12th pass preferred|Freshers as MIS Executive preferred||Full Time||10:30 AM - 5:30 PM(day shift)|Computer AwarenessConfidenceCompulsory      Quantitative AptitudeCustomer Retention|6 days  (1)|Freshers can Apply|Mumbai Central, Mumbai|3.29Lac |2.39Lac 
18 - 29 yrs|Good Hindi skills - Ability to Speak, Read & Write|Aadhar CardCompulsory|Below 10th allowed|Freshers as Receptionist/Front Desk in BPO / ITES preferred||Full Time|Good Communication     Good Communication|10:00 AM - 6:00 PM(day shift)|Computer AwarenessConfidenceCompulsory      DedicationCustomer Retention|6 days  (Sunday)|Freshers can Apply|Paschim Vihar, New DelhiLajpat Nagar, New Delhi+2 more|23,500|13,500
18 - 29 yrs|Good Hindi skills - Ability to Speak, Write & Read||10th pass preferred|Freshers as Network / Security / System Administration in BPO / ITES preferred||Full Time|Good Communication     Good Communication|10:00 AM - 6:00 PM(day shift)|ConfidenceCompulsory      Dedication|6 days  (Sunday)|Freshers can Apply|Indirapuram, GhaziabadVaishali, Ghaziabad+2 more|24,500|12,450
18 - 28 yrs|Good Hindi skills - Ability to Speak, Read & Write|Aadhar CardCompulsory|Below 10th allowed|Freshers as Receptionist/Front Desk in BPO / ITES preferred||Full Time|Good Communication     Good Communication|10:00 AM - 6:00 PM(day shift)|Computer AwarenessConfidenceCompulsory      Computer AwarenessConfidence|6 days  (Sunday)|Freshers can Apply|Dwarka, New DelhiJanakpuri, New Delhi+2 more|23,500|13,500
18 - 28 yrs|||10th pass preferred|Freshers as Customer Care in BPO / ITES preferred||Full Time||10:00 AM - 6:00 PM(day shift)|ConfidenceDedicationCustomer RetentionCompulsory      DedicationLocal AwarenessMS WordCustomer Retention|6 days|Freshers can Apply|NIT, FaridabadOld Faridabad, Faridabad+3 more|24,000|12,000
21 - 30 yrs|Good English skills - Ability to Speak, Read & WriteCompulsory      Good Hindi skills - Ability to Speak, Read & Write     Good Telugu skills - Ability to Speak, Read & Write||12th pass mandatoryCompulsory| 6 months to 1 yr of experience as Back Office Executive in Banking / Financial Services / Insurance preferred|Female preferred|Full Time||9:00 AM - 6:00 PM(day shift)||6 days  (Sunday)|"6 monthsto1 yr experience| Resume Required"|Punjagutta, Hyderabad|12,000|8,000
18 - 28 yrs|Good Hindi skills - Ability to Speak, Read & Write||10th pass preferred|Freshers as Network / Security / System Administration in BPO / ITES preferred||Full Time|Good Communication     Good Communication|10:00 AM - 6:00 PM(day shift)|ConfidenceCompulsory      Dedication|6 days  (Sunday)|Freshers can Apply|Rohini, New DelhiKarol Bagh, New Delhi+2 more|24,500|13,500
18 - 28 yrs|Good Hindi skills - Ability to Speak, Read & Write||10th pass preferred|Freshers as Other in BPO / ITES preferred||Full Time|Good Communication     Good Communication|10:00 AM - 6:00 PM(day shift)|ConfidenceCompulsory      Dedication|6 days  (Sunday)|Freshers can Apply|Laxmi Nagar, New DelhiRajouri Garden, New Delhi+2 more|21,500|13,400
18 - 29 yrs|Good Hindi skills - Ability to Speak, Read & Write||10th pass preferred|Freshers as Other in BPO / ITES preferred||Full Time|Good Communication     Good Communication|10:00 AM - 6:00 PM(day shift)|DedicationCompulsory      Confidence|6 days  (Sunday)|Freshers can Apply|Rohini, New DelhiShahdara, New Delhi+2 more|21,200|13,540
18 - 29 yrs|Good Hindi skills - Ability to Speak, Read & Write||12th pass preferred|Freshers as Other in BPO / ITES preferred||Full Time|Good Communication     Good Communication|10:00 AM - 6:00 PM(day shift)|ConfidenceCompulsory      Dedication|6 days  (Sunday)|Freshers can Apply|Uttam Nagar, New DelhiNangloi, New Delhi+2 more|22,000|13,400
18 - 28 yrs|Good Hindi skills - Ability to Speak, Read & Write|Aadhar CardCompulsory|10th pass preferred|Freshers as Receptionist/Front Desk in BPO / ITES preferred|Part Time|Good Communication     Good Communication|10:00 AM - 6:00 PM(day shift)|Computer AwarenessConfidenceCompulsory      DedicationCustomer Retention|6 days  (Sunday)|Freshers can Apply|Paschim Vihar, New DelhiLaxmi Nagar, New Delhi+2 more|24,500|13,500
18 - 28 yrs|Good Hindi skills - Ability to Speak, Read & Write|Aadhar CardCompulsory|12th pass preferred|Freshers as Receptionist/Front Desk in BPO / ITES preferred|Full Time|Good Communication     Good Communication|10:00 AM - 6:00 PM(day shift)|Computer AwarenessConfidenceCompulsory      DedicationCustomer Retention|6 days  (Sunday)|Freshers can Apply|GTB Nager, New DelhiLajpat Nagar, New Delhi+1 more|25.40K |13,500
Above 18 yrsCompulsory|Good English skills - Ability to Speak, Read & WriteCompulsory||12th pass mandatoryCompulsory|0 to 6 months of experience as Telesales / Telemarketing in BPO / ITES preferred|Full Time||10:00 AM - 7:00 PM(day shift)||6 days  (Sunday)|Freshers can Apply 6 months experience|Navi Mumbai, Thane|20,000|10,000
18 - 35 yrs|Good English skills - Ability to Speak     Good Hindi skills - Ability to Speak|Aadhar Card     Photos|12th pass preferred|Freshers as Customer Care in BPO / ITES preferred|Full Time||10:30 AM - 5:30 PM(day shift)|Computer AwarenessConfidenceCompulsory|6 days  (1)|Freshers can Apply|Mumbai Central, Mumbai|3.53Lac |2.35Lac 
Above 18 yrs|Good English skills - Ability to Speak     Good Hindi skills - Ability to Speak     Good Malayalam skills - Ability to Speak|Pan Card     Cheque Book / Pass Book     Aadhar Card|10th pass preferred|Freshers as Customer Care in BPO / ITES or Telecom / ISP preferred|Full Time||12:00 PM - 9:00 PM(day shift)  11:00 AM - 8:00 PM(day shift)  9:00 AM - 6:00 PM(day shift)  10:00 AM - 7:00 PM(day shift)|ConfidenceDedicationCompulsory      Confidence|6 days  (Rotational off)|Freshers can Apply|Chandan Nagar, Pune|13,000|10,000
18 - 28 yrs|Good Hindi skills - Ability to Speak, Read & Write||12th pass preferred|Freshers as Network / Security / System Administration in BPO / ITES preferred|Full Time|Good Communication     Good Communication|10:00 AM - 6:00 PM(day shift)|ConfidenceCompulsory      Dedication|6 days  (Sunday)|Freshers can Apply|Sector 14, GurgaonSector 24, Gurgaon+2 more|24,500|13,500
18 - 30 yrs|Good English skills - Ability to Speak||Below 10th allowed|Freshers as Telesales / Telemarketing in BPO / ITES preferred|Full Time||10:00 AM - 6:00 PM(day shift)||6 days  (Sunday)|Freshers can Apply|South Extension I, New Delhi|20,000|15,000
18 - 30 yrs|Fluent English skills - Ability to Speak, Read & Write||Graduation degree preferred     Bachelor of Arts (B.A.) in Other preferred|1 yr to 2 yrs of experience as Customer Care in BPO / ITES preferred|Full Time|||Business Process Outsourcing (BPO)Compulsory      outbound calls|1 days|"1 yrto2 yrs experience| Resume Required"|Bellandur, BengaluruWhitefield, Bengaluru+1 more|3Lac |2Lac 
18 - 29 yrs|Good Hindi skills - Ability to Speak, Read & Write||10th pass preferred|Freshers as Network / Security / System Administration in BPO / ITES preferred|Full Time|Good Communication     Good Communication|10:00 AM - 6:00 PM(day shift)|ConfidenceCompulsory      Dedication|6 days  (Sunday)|Freshers can Apply|Sector 26, GurgaonSector 20, Gurgaon+2 more|24,500|13,500
18 - 28 yrs|Good Hindi skills - Ability to Speak, Read & WriteCompulsory|Aadhar CardCompulsory|10th pass preferred|Freshers as Receptionist/Front Desk in BPO / ITES preferred|Full Time|Good Communication     Good Communication|10:00 AM - 6:00 PM(day shift)|ConfidenceCustomer RetentionCompulsory      ConfidenceDedicationCustomer Retention|6 days  (Sunday)|Freshers can Apply|Okhla Industrial Area, New DelhiNangloi, New Delhi+3 more|24,500|13,400
18 - 35 yrs|Excellent English skills - Ability to SpeakCompulsory||12th pass preferred|Freshers as Customer Care preferred|Full Time|||Computer AwarenessConfidenceDedicationLocal AwarenessMS WordPersonal GroomingCompulsory|5 days  (Rotational OFF)|Freshers can Apply|Bengaluru, Bangalore Urban|35K |15,000
18 - 28 yrs|||10th pass preferred|0 to 6 months of experience as Customer Care preferred|Full Time||10:00 AM - 6:00 PM(day shift)|Computer AwarenessConfidenceDedicationCustomer RetentionCompulsory      ConfidenceDedicationLocal AwarenessCustomer Retention|6 days|Freshers can Apply 6 months experience|Saket, New DelhiChhattarpur, New Delhi+3 more|3.70Lac |1.23Lac 
18 - 35 yrs|Functional English skills - Ability to Speak     Good Hindi skills - Ability to Speak|Aadhar Card     Photos|12th pass preferred|Freshers as Sales / Business Development in BPO / ITES preferred|Full Time||10:00 AM - 5:00 PM(day shift)|Computer AwarenessCompulsory      Confidence|6 days  (1)|Freshers can Apply|Mumbai Central, Mumbai|3.25Lac |2.16Lac 
18 - 35 yrs|Good Hindi skills - Ability to Speak     Functional English skills - Ability to Speak||12th pass preferred|Freshers as Marketing Executive preferred|Full Time||10:30 AM - 5:30 PM(day shift)|Computer AwarenessCompulsory      Confidence|6 days  (1)|Freshers can Apply|Mumbai Central, Mumbai|3.28Lac |2.35Lac 
18 - 35 yrsCompulsory|Functional English skills - Ability to Read & Write||10th pass mandatoryCompulsory|0 to 6 months of experience as Back Office Executive in BPO / ITES preferred|Full Time|Immediate Joiners required|10:00 PM - 7:00 AM(day shift)  9:00 PM - 6:00 AM(day shift)|TypingCompulsory|5 days  (Rotational Week offs)|Freshers can Apply 6 months experience|Thane West, Thane|13,000|11,000
18 - 35 yrs|Functional English skills - Ability to Speak     Good Hindi skills - Ability to Speak||12th pass preferred|Freshers as MIS Executive preferred|Full Time||10:00 AM - 5:00 PM(day shift)|Computer AwarenessCompulsory      Confidence|6 days  (1)|Freshers can Apply|Mumbai Central, Mumbai|25.38K |15,430
18 - 35 yrs|Functional English skills - Ability to Speak     Good Hindi skills - Ability to Speak||12th pass preferred|Freshers as Back Office Executive in BPO / ITES preferred|Full Time||10:30 AM - 6:00 PM(day shift)|Computer AwarenessCompulsory      Confidence|6 days  (1)|Freshers can Apply|Mumbai Central, Mumbai|3.50Lac |2.40Lac 
18 - 35 yrs|Functional English skills - Ability to Speak     Good Hindi skills - Ability to Speak||12th pass preferred|Freshers as Data Entry Operator in BPO / ITES preferred|Full Time||10:30 AM - 5:00 PM(day shift)|Computer AwarenessCompulsory      Confidence|6 days  (1)|Freshers can Apply|Mumbai Central, Mumbai|3.18Lac |2.14Lac 
18 - 35 yrs|Functional English skills - Ability to Speak     Good Hindi skills - Ability to Speak||12th pass preferred|Freshers as Back Office Executive in BPO / ITES preferred|Full Time||11:00 AM - 6:00 PM(day shift)|Computer AwarenessCompulsory      Confidence|6 days  (1)|Freshers can Apply|Mumbai Central, Mumbai|3.30Lac |2.25Lac 
18 - 35 yrs|Good Hindi skills - Ability to Speak     Functional English skills - Ability to Speak||12th pass preferred|Freshers as Data Entry Operator in BPO / ITES preferred|Full Time||10:30 AM - 5:30 PM(day shift)|ConfidenceCompulsory      Computer Awareness|6 days  (1)|Freshers can Apply|Andheri West, Mumbai|3.32Lac |2.32Lac 
18 - 28 yrs|||10th pass preferred|0 to 6 months of experience as Customer Care in BPO / ITES preferred||Full Time||10:00 AM - 6:00 PM(day shift)|Quantitative AptitudeLocal AwarenessMS WordPersonal GroomingCompulsory      Computer AwarenessConfidenceDedicationCustomer Retention|6 days|Freshers can Apply 6 months experience|Ballabgarh, FaridabadOld Faridabad, Faridabad+3 more|25K |12,000
21 - 30 yrs|Good English skills - Ability to Speak, Read & WriteCompulsory      Good Hindi skills - Ability to Speak, Read & Write     Good Telugu skills - Ability to Speak, Read & Write||12th pass mandatoryCompulsory| 6 months to 1 yr of experience as Back Office Executive in Banking / Financial Services / Insurance mandatoryCompulsory|Female preferred|Full Time||9:00 AM - 6:00 PM(day shift)|Computer AwarenessConfidenceDedicationMS WordCustomer RetentionCompulsory      Computer AwarenessConfidenceDedicationMS WordCustomer Retention|6 days  (sunday)|"6 monthsto1 yr experience| Resume Required"|Punjagutta, Hyderabad|12,000|8,000
18 - 35 yrs|Good Telugu skills - Ability to Speak, Read & Write     Fluent English skills - Ability to Speak, Read & Write     Good Hindi skills - Ability to Speak, Read & Write||Below 10th mandatoryCompulsory|0 to 6 yrs of experience as Back Office Executive or Customer Care in Information Services / Database Management or Information Technology and Services preferred||Full Time||9:30 AM - 6:30 PM(day shift)|microsoft excelCompulsory      Business Communication|5 days|"Freshers can Apply6 yrs experience| Resume Required"|HITEC City, Hyderabad|25K |10,000
Above 18 yrs|Fluent English skills - Ability to Speak, Read & Write||Below 10th allowed|Freshers as Human Resource (HR) in Recruitment / Staffing / RPO preferred|Male mandatoryCompulsory|Full Time||"8:00 PM - 6:00 AM(day shift|for Male Candidates only)"|English GrammarCompulsory|5 days  (Saturday and Sunday off)|"Freshers can Apply| Resume Required"|Chitpady, Udupi|30K |15,000
18 - 25 yrs|Functional English skills - Ability to SpeakCompulsory      Fluent Hindi skills - Ability to SpeakCompulsory||Below 10th allowed|Freshers as Customer Care preferred||Full Time||10:00 AM - 4:00 PM(day shift)|Computer AwarenessConfidenceDedicationLocal AwarenessGroomingDressingModulationPleasantnessMS WordCompulsory|"6 days|Off Days:Sunday"|Freshers can Apply|Hauz Khas, New DelhiDwarka, New Delhi+3 more|29K |16,000
18 - 28 yrs|Good Hindi skills - Ability to Speak, Read & Write||Below 10th allowed|Freshers as Network / Security / System Administration in BPO / ITES preferred||Full Time|Good Communication     Good Communication|10:00 AM - 6:00 PM(day shift)|ConfidenceCompulsory      Dedication|6 days  (Sunday)|Freshers can Apply|Mehrauli, New DelhiDilshad Garden, New Delhi+2 more|21,450|13,500
18 - 35 yrs|Good Hindi skills - Ability to Speak     Functional English skills - Ability to Speak||12th pass preferred|Freshers as Marketing Executive in BPO / ITES preferred||Full Time||10:30 AM - 5:30 PM(day shift)|ConfidenceCustomer RetentionCompulsory      Computer Awareness|6 days  (1)|Freshers can Apply|Mumbai Central, Mumbai|3.55Lac |2.38Lac 
18 - 28 yrs|Good Hindi skills - Ability to Speak, Read & Write|Aadhar CardCompulsory|10th pass preferred|Freshers as Receptionist/Front Desk in BPO / ITES preferred||Full Time|Good Communication     Good Communication|10:00 AM - 6:00 PM(day shift)|Computer AwarenessConfidenceCustomer RetentionCompulsory      Computer AwarenessConfidenceCustomer Retention|5 days  (Saturday and Sunday)|Freshers can Apply|NIT, FaridabadOld Faridabad, Faridabad+2 more|24,500|13,500
