Age|Communication|Education|Experience|Gender|Job Type|Shift Timings|Skills|Working Days|experience|location|salary_max|salary_min
20 - 38 yrs|Good Hindi skills - Ability to Speak     Fluent English skills - Ability to Speak|Graduation degree preferred|Freshers as Sales / Business Development or Fashion Designer in Textile / Garment / Fashion preferred|Female mandatoryCompulsory|Full Time|10:30 AM - 7:00 PM(day shift)|Corel Draw and Photoshop.Compulsory|6 days|"Freshers can Apply| Resume Required"|Bais Godam, Jaipur|20,000|15,000
Above 18 yrs||Specializations in Fashion Designing/Other DesigningCompulsory      Graduation degree preferred     Other Graduation preferred|Freshers as Fashion Designer preferred||Full Time||||Freshers can Apply|Kilpauk, Chennai|50K |5,000
