Age|Communication|Documents|Education|Experience|Gender|Job Benefits|Job Type|Others|Ownership|Reimbursements|Shift Timings|Skills|Working Days|experience|location|salary_max|salary_min
19 - 30 yrsCompulsory|Fluent Tamil skills - Ability to SpeakCompulsory      Functional English skills - Ability to SpeakCompulsory|Caniddates must have two wheeler driving licenseCompulsory|10th pass mandatoryCompulsory|Freshers as Sales / Business Development mandatoryCompulsory      Freshers to candidates with 9 years of experience in field sales can applyCompulsory      No one from counter sales or showroom salesCompulsory|Male mandatoryCompulsory|PF & ESIC  Additional IncentivesDetails 5000 to 10,000 Monthly incentive|Full Time|Ask to meet Solomon Sir there for first interview roundCompulsory      Write AASAANJOBS on resumes carried to interviewCompulsory|Bike/ScooterCompulsory|Mobile BillsDetails 500 Mobile Reimbursement  Travelling CostDetails 2500|"10:30 AM - 7:30 PM(day shift|for Male Candidates only)"|MarketingSalesbusiness developmentCompulsory|"6 days|Off Days:Wednesday  (Week-off between Monday - Thursday)"|"Freshers can Apply| Resume Required"|Perambur, ChennaiVirugambakkam, Chennai+1 more|19,500|15,000
19 - 35 yrsCompulsory|Good Gujarati skills - Ability to SpeakCompulsory      Good Hindi skills - Ability to SpeakCompulsory      Functional English skills - Ability to Speak & WriteCompulsory|2-Wheeler Driving LicenseCompulsory      Aadhar CardCompulsory      Pan CardCompulsory      Electricity BillCompulsory      Salary slipsCompulsory      Marksheets and DegreeCompulsory      Joining and Relieving LettersCompulsory      Cheque Book / Pass BookCompulsory      PhotosCompulsory      4 passport size photo.Compulsory      Caniddates must have two wheeler driving licenseCompulsory      Education certificate ( original + xerox )Compulsory      Aadhar Card ( original + xerox )Compulsory      Last company salary proof ( Bank statement / Salary Slips ) ( original + xerox )Compulsory      Pan Card ( original + xerox )Compulsory|12th pass mandatoryCompulsory|Freshers as Insurance Agent, Mutual Fund Agent, Sales / Business Development, Marketing Executive or Promoter in FMCG / F&B mandatoryCompulsory      Minimum 0 month to Any years of experience in field sales can applyCompulsory      Fresher are allowed with good communication skills and candidate who are having bike.Compulsory|Male mandatoryCompulsory|PF & ESIC  Additional IncentivesDetails 4000 to 8000 Monthly incentive|Full Time||Android PhoneCompulsory      Bike/ScooterCompulsory|Travelling CostDetails 2600 travelling allowance|"9:00 AM - 7:00 PM(day shift|for Male Candidates only)"|area knowledgecomfortable to work on fieldCompulsory|6 days  (Rotational Off)|"Freshers can Apply| Resume Required"|Vastrapur, AhmedabadPaldi, Ahmedabad+3 more|20,000|14,000
20 - 28 yrsCompulsory|Fluent Hindi skills - Ability to Speak, Read & WriteCompulsory      Fluent English skills - Ability to Speak, Write & ReadCompulsory||12th pass mandatoryCompulsory| 6 months to 3 yrs of experience as Sales / Business Development mandatoryCompulsory      Experience in FMCG / F&B preferred|Male mandatoryCompulsory|PF & ESIC  Additional Incentives|Full Time||Android PhoneCompulsory      Bike/ScooterCompulsory|Travelling Cost|"10:00 AM - 7:30 PM(day shift|for Male Candidates only)"||6 days  (1 rotational off)|6 monthsto3 yrs experience|North Delhi, DL|22,000|15,000
20 - 30 yrsCompulsory|Excellent Hindi skills - Ability to SpeakCompulsory|Pan CardCompulsory      Aadhar CardCompulsory      2-Wheeler Driving LicenseCompulsory|12th pass mandatoryCompulsory|1 yr to 3 yrs of experience as Sales / Business Development mandatoryCompulsory|Male mandatoryCompulsory|PF & ESIC  Additional Incentives|Full Time||Bike/Scooter|Travelling Cost|9:00 AM - 7:00 PM(day shift)||6 days  (1 Rotational off)|1 yrto3 yrs experience|Pochammapad, Adilabad|20,000|15,000
20 - 35 yrsCompulsory|Excellent Hindi skills - Ability to SpeakCompulsory|2-Wheeler Driving LicenseCompulsory      Aadhar CardCompulsory      Pan CardCompulsory|12th pass mandatoryCompulsory|1 yr to 3 yrs of experience as Sales / Business Development mandatoryCompulsory|Male mandatoryCompulsory|PF & ESIC  Additional Incentives|Full Time||Bike/Scooter|Travelling Cost|9:00 AM - 7:00 PM(day shift)||6 days  (1 Rotational off)|1 yrto3 yrs experience|Surajpur, Greater Noida|20,000|15,000
20 - 30 yrsCompulsory|Excellent Telugu skills - Ability to SpeakCompulsory|Pan CardCompulsory      Aadhar CardCompulsory      2-Wheeler Driving LicenseCompulsory|12th pass mandatoryCompulsory|1 yr to 3 yrs of experience as Sales / Business Development mandatoryCompulsory|Male mandatoryCompulsory|PF & ESIC  Additional Incentives|Full Time||Bike/Scooter|Travelling Cost|9:00 AM - 7:00 PM(day shift)||6 days  (1 Rotational off)|1 yrto3 yrs experience|Gopalwada, Mancherial|20,000|15,000
20 - 30 yrsCompulsory|Excellent Telugu skills - Ability to SpeakCompulsory|2-Wheeler Driving LicenseCompulsory      Aadhar CardCompulsory      Pan CardCompulsory|12th pass mandatoryCompulsory|1 yr to 3 yrs of experience as Sales / Business Development mandatoryCompulsory|Male mandatoryCompulsory|PF & ESIC  Additional Incentives|Full Time||Bike/Scooter|Travelling Cost|9:00 AM - 7:00 PM(day shift)||6 days  (1 Rotational off)|1 yrto3 yrs experience|Nandala Padu, Tadipatri|20,000|15,000
22 - 50 yrs|Excellent Hindi skills - Ability to SpeakCompulsory|Photos     2-Wheeler Driving License     Aadhar Card|Below 10th allowed|Freshers as Sales / Business Development in Security / Detective Services preferred|Male preferred||Full Time||Bike/Scooter||"10:30 AM - 8:00 PM(day shift|for Male Candidates only)"|DedicationLocal AwarenessPersonal Grooming•	Should be Hardworking, through Professional & Honest. •	Excellent market and industry knowledge is must. •	Excellent sales and negotiation skills including cold callingCompulsory      ConfidenceCustomer Retention•	Ability to build customer relationship. •	Excellent presentation, oral communication and organizational skills. •	Self motivated and able to work under pressure to achieve challenging targets|6 days|"Freshers can Apply| Resume Required"|Tukoganj, Indore|30K |12,000
20 - 35 yrsCompulsory|Excellent Hindi skills - Ability to SpeakCompulsory|Pan CardCompulsory      Aadhar CardCompulsory      2-Wheeler Driving LicenseCompulsory|12th pass mandatoryCompulsory|1 yr to 3 yrs of experience as Sales / Business Development mandatoryCompulsory|Male mandatoryCompulsory|PF & ESIC  Additional Incentives|Full Time||Bike/Scooter|Travelling Cost|9:00 AM - 7:00 PM(day shift)||6 days  (1 Rotational off)|1 yrto3 yrs experience|Redhills, Chennai|20,000|15,000
Above 18 yrs|Functional English skills - Ability to Speak & ReadCompulsory      Good Hindi skills - Ability to Speak & ReadCompulsory      Functional Marathi skills - Ability to Speak & Read||12th pass mandatoryCompulsory|Freshers as Sales / Business Development preferred|||Full Time|||||||Freshers can Apply|Airoli, Navi MumbaiGhansoli, Navi Mumbai+2 more|30K |12,000
18 - 34 yrsCompulsory|Functional English skills - Ability to Speak, Write & ReadCompulsory|Joining and Relieving LettersCompulsory      Pan CardCompulsory      Aadhar CardCompulsory      Salary slipsCompulsory      Marksheets and DegreeCompulsory|10th pass mandatoryCompulsory|0 to 2 yrs of experience as Sales / Business Development mandatoryCompulsory      Need experience into collection and need to work on field to collect PaymentsCompulsory      Incentive – Opportunity to earn more than 15k per month , linked to his performanceCompulsory      Fresher can be consider with graduationCompulsory      10th pass MandatoryCompulsory      Experience in Banking / Financial Services / Insurance preferred||PF & ESIC  Additional IncentivesDetails Based on Performance|Full Time||Bike/ScooterCompulsory|Other CostDetails As per actuals|7:00 AM - 4:00 PM(day shift)||"6 days|Off Days:Sunday"|"Freshers can Apply2 yrs experience| Resume Required"|Virugambakkam, Chennai|2.25Lac |1.25Lac 
18 - 31 yrs|Fluent English skills - Ability to Speak     Good Kannada skills - Ability to Speak||Graduation degree preferred|Freshers as Sales / Business Development preferred|Male preferred||Full Time||Bike/ScooterCompulsory||||7 days  (Tuesdays Off)|Freshers can Apply|Sarjapur, BengaluruParappana Agrahara, Bengaluru|40K |20,000
