Age,Communication,Documents,Education,Experience,Gender,Job Type,Others,Ownership,Shift Timings,Skills,Working Days,experience,location,salary_max,salary_min
18 - 25 yrs,Good Hindi skills - Ability to Speak,,,,,,,,,,,,,,
18 - 25 yrs,Fluent English skills - Ability to Speak,,,,,,,,,,,,,,
Above 18 yrs,Fluent English skills - Ability to Speak,,,,,,,,,,,,,,
18 - 35 yrs,,,Graduation degree preferred,2 yrs to 3 yrs of experience as Admin Executive in Telecom / ISP preferred,,Full Time,,,9:00 AM - 6:00 PM(day shift),,6 days,2 yrsto3 yrs experience| Resume Required,Saravanampatty,,
25 - 40 yrs,Fluent English skills - Ability to Speak,,,,,,,,,,,,,,
Above 18 yrs,Functional Hindi skills - Ability to Speak,Aadhar CardCompulsory,12th pass mandatoryCompulsory,Freshers as Admin Executive preferred,,Full Time,,,9:30 AM - 5:30 PM(day shift),Communication SkillsPresentation skillsCompulsory,5 days,Freshers can Apply| Resume Required,Swargate,,
20 - 35 yrs,Fluent Tamil skills - Ability to Speak     Good English skills - Ability to Speak,,,,,,,,,,,,,,
18 - 35 yrs,Good English skills - Ability to Speak,,,,,,,,,,,,,,
Above 18 yrs,Fluent English skills - Ability to Speak,,,,,,,,,,,,,,
18 - 30 yrsCompulsory,Good English skills - Ability to Speak,,,,,,,,,,,,,,
18 - 30 yrsCompulsory,Good English skills - Ability to Speak,,,,,,,,,,,,,,
Above 19 yrs,Good English skills - Ability to Speak     Good Hindi skills - Ability to Speak     Good Marathi skills - Ability to Speak,Pan Card     Aadhar Card,12th pass preferred,Freshers as Office Assistant or Admin Executive in Other or Textile / Garment / Fashion preferred,,Full Time,,,10:00 AM - 5:00 PM(day shift),ConfidenceCompulsory      Business CommunicationCommunicationBrand Communication,6 days  (YES),Freshers can Apply,Shivajinagar,,
30 - 45 yrs,Fluent English skills - Ability to Speak,,,,,,,,,,,,,,
25 - 35 yrs,Fluent Tamil skills - Ability to Speak,,,,,,,,,,,,,,
18 - 30 yrsCompulsory,Good English skills - Ability to Speak,,,,,,,,,,,,,,
Above 18 yrs,Good English skills - Ability to Speak,,,,,,,,,,,,,,
Above 18 yrs,Functional English skills - Ability to Speak     Good Tamil skills - Ability to Speak,,Below 10th allowed,Freshers as Admin Executive preferred,Female preferred,Full Time,,,10:00 AM - 7:00 PM(day shift),Accounting Tally,6 days  (TUESDAY),Freshers can Apply| Resume Required,Kodambakkam,,
18 - 32 yrsCompulsory,Good English skills - Ability to Speak,,,,,,,,,,,,,,
Above 18 yrs,,,Below 10th allowed,Freshers as Admin Executive preferred,,Full Time,,,,,,Freshers can Apply,Austinabad,,
18 - 32 yrs,Functional English skills - Ability to Speak,,,,,,,,,,,,,,
Above 18 yrs,Fluent English skills - Ability to Speak,,,,,,,,,,,,,,
25 - 40 yrs,Fluent English skills - Ability to Speak,,,,,,,,,,,,,,
18 - 30 yrs,Good English skills - Ability to Speak,,,,,,,,,,,,,,
Above 18 yrs,Good English skills - Ability to Speak,,,,,,,,,,,,,,
Above 18 yrs,Excellent English skills - Ability to Speak,,,,,,,,,,,,,,
18 - 30 yrs,Good English skills - Ability to Speak     Good Hindi skills - Ability to Speak,,12th pass preferred,Freshers as Admin Executive in Aviation / Airlines preferred,,Full Time,,,,,6 days  (sunday),Freshers can Apply,Topsia,,
Above 18 yrs,,,Below 10th allowed,1 yr to 4 yrs of experience as Admin Executive preferred,Male preferred,Full Time,,,,,,1 yrto4 yrs experience| Resume Required,Sarabha Nagar,,
Above 18 yrs,,,Below 10th allowed,Freshers as Admin Executive preferred,,Full Time,,,,,,Freshers can Apply| Resume Required,Sector 34,,
18 - 35 yrs,Good English skills - Ability to Speak,,,,,,,,,,,,,,
25 - 30 yrs,Good English skills - Ability to Speak,,,,,,,,,,,,,,
,Fluent English skills - Ability to Speak,,,,,,,,,,,,,,
25 - 58 yrs,Good Bengali skills - Ability to Speak,,,,,,,,,,,,,,
Above 18 yrs,,,Below 10th allowed,Freshers as Admin Executive preferred,Full Time,,,,,,Freshers can Apply,Austinabad,,,
Above 18 yrsCompulsory,Functional English skills - Ability to Speak,,,,,,,,,,,,,,
18 - 35 yrsCompulsory,Functional English skills - Ability to Speak,,,,,,,,,,,,,,
Above 18 yrs,,,Below 10th allowed,Freshers as Admin Executive preferred,Full Time,,,10:00 AM - 5:30 PM(day shift),,6 days  (sunday),Freshers can Apply,Kolkata,,,
18 - 35 yrs,Functional English skills - Ability to Speak,,,,,,,,,,,,,,
22 - 30 yrs,Fluent English skills - Ability to Speak     Fluent Hindi skills - Ability to Speak     Fluent Telugu skills - Ability to Speak,Aadhar Card,Graduation degree preferred,1 yr to 3 yrs of experience as Admin Executive in IT- Software preferred,Full Time,,,7:00 AM - 5:00 PM(day shift),MS OfficeCompulsory      teamwork,6 days  (sunday),1 yrto3 yrs experience| Resume Required,Ameerpet,,,
Above 18 yrsCompulsory,Functional English skills - Ability to Speak,,,,,,,,,,,,,,
Above 18 yrs,Good Hindi skills - Ability to Speak     Good English skills - Ability to Speak     Good Marathi skills - Ability to Speak,Aadhar Card     Pan Card,12th pass preferred,Freshers as Admin Executive in Other or Textile / Garment / Fashion preferred,Full Time,,,10:00 AM - 5:00 PM(day shift),Business CommunicationCommunicationBuilding Community PartnershipsCompulsory      Communication SkillsAnalytical SkillsClerical Skills,6 days  (YES),Freshers can Apply| Resume Required,Swargate,,,
Above 20 yrs,Good English skills - Ability to Speak & Read,Pan Card     Aadhar Card,Graduation degree preferred, 6 months to 1 yr of experience as Accountant in Export / Import / Trading or Real Estate preferred,,Full Time,,,10:00 AM - 6:30 PM(day shift),Accounting,,,,,
18 - 35 yrs,Functional English skills - Ability to Speak,,,,,,,,,,,,,,
Above 18 yrs,Good English skills - Ability to Speak     Good Hindi skills - Ability to Speak     Good Marathi skills - Ability to Speak,Aadhar Card     Pan Card,12th pass preferred,Minimum 6 months of experience as Admin Executive in Facility Management or Retail / Wholesale preferred,,Full Time,,,10:00 AM - 5:00 PM(day shift),Communication SkillsAnalytical SkillsBusiness Management SkillsCompulsory      Client CommunicationBusiness CommunicationsBusiness Partner Support,6 days  (YES),6 months experience| Resume Required,Shivajinagar,,
18 - 30 yrsCompulsory,Good English skills - Ability to Speak,,,,,,,,,,,,,,
18 - 35 yrsCompulsory,Good English skills - Ability to Speak,,,,,,,,,,,,,,
Above 18 yrsCompulsory,Fluent English skills - Ability to Speak,,,,,,,,,,,,,,
Above 18 yrs,,,12th pass preferred,Freshers as Admin Executive preferred,Female preferred,Full Time,,,,,,Freshers can Apply| Resume Required,Mumbai Central,,
18 - 40 yrs,Good English skills - Ability to Speak,,,,,,,,,,,,,,
Above 18 yrs,Good English skills - Ability to Speak     Good Hindi skills - Ability to Speak     Good Marathi skills - Ability to Speak,Pan Card     Aadhar Card,12th pass preferred,Freshers as Admin Executive or Telecommunications Engineer in Textile / Garment / Fashion or Facility Management preferred,,Full Time,,,12:00 PM - 7:00 PM(day shift)  10:00 AM - 6:00 PM(day shift),CommunicationAnalog CommunicationBusiness CommunicationsBuilding Community PartnershipsCompulsory      Engineering LeadershipEthical LeadershipExecutive Leadership,6 days  (ALTERNATE),Freshers can Apply| Resume Required,Deccan Gymkhana,,
18 - 30 yrsCompulsory,Good English skills - Ability to Speak,,,,,,,,,,,,,,
22 - 28 yrs,Good English skills - Ability to Speak,,,,,,,,,,,,,,
18 - 30 yrsCompulsory,Good English skills - Ability to Speak,,,,,,,,,,,,,,
18 - 25 yrs,Good English skills - Ability to Speak,,,,,,,,,,,,,,
18 - 30 yrs,Fluent English skills - Ability to Speak,,,,,,,,,,,,,,
18 - 35 yrs,Good English skills - Ability to Speak,,,,,,,,,,,,,,
18 - 25 yrs,Excellent English skills - Ability to Speak,,,,,,,,,,,,,,
18 - 30 yrs,Fluent Hindi skills - Ability to Speak,,,,,,,,,,,,,,
22 - 30 yrs,Fluent English skills - Ability to Speak,,Graduation degree preferred,1 yr to 2 yrs of experience as Admin Executive in Education / Training preferred,Female preferred,Full Time,,,10:00 AM - 6:00 PM(day shift),CommunicationTyping SkillsCompulsory,6 days,1 yrto2 yrs experience| Resume Required,Vile Parle West,,
22 - 35 yrs,Good English skills - Ability to Speak,,,,,,,,,,,,,,
18 - 35 yrs,Functional English skills - Ability to Speak,,,,,,,,,,,,,,
Above 18 yrs,Good English skills - Ability to Speak,,,,,,,,,,,,,,
